# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
NGC5236|13.6169267|-29.8656261|314.5836574|31.9728632|0.288|0.72|5|Sc|508.4|2.1|7.26285705566406|7.817|0.206|-20.633|||7.847|7.214|28.45|0.024|4.897789914506|2.134|2MASXJ13370091-2951567,ESO444-081,ESOLV4440810,FLASHJ133700.23-295204.5,HIPASSJ1337-29,IRAS13341-2936,IRAS13342-2933,LGG355:[G93]001,MCG-05-32-050,MESSIER083,MRC1334-296,NGC5236,PGC048082,UGCA366
NGC5457|14.0534912|54.349023|102.0373105|59.7712851|0.037|0.585|5.9|SABc|236.9|1.7|3.38428562709263|8.361|0.188|-20.899||||7.902|29.26|0.01|7.11213588618068|2.38|2MASXJ14031258+5420555,ARP026,CGCG272-021,IRAS14013+5435,KIG0610,LGG371:[G93]001,MCG+09-23-028,MESSIER101,NGC5457,PGC050063,SDSSJ140312.52+542056.2,SDSSJ140312.54+542056.1,UGC08981,UZC140130+54350,VV344:,VV456
NGC5194|13.4979698|47.195151|104.8514735|68.5608822|0.152|0.68|4|SABb|460.8|1.5|6.58285696847098|8.608|0.269|-21.059||||10.722|29.667|0.023|8.57827497548059|2.137|2MASXJ13295269+4711429,ARP085:,CGCG246-008,IRAS13277+4727,KPG379A,LGG347:[G93]004,MCG+08-25-012,MESSIER051,NGC5194,PGC047404,UGC08493,UZC132748+47270,VV001:,VV403,WHIRLPOOL
NGC4258|12.3159957|47.3038816|138.3198303|68.8422815|0.071|0.805|4|Sbc|454.2|6.1|6.48857160295759|9.124|0.137|-20.282|7.356|0.078||9.293|29.406|0.011|7.60676548873228|2.23|2MASXJ12185761+4718133,CGCG243-067,CGCG244-003,LGG290:[G93]004,MCG+08-22-104,MESSIER106,NGC4258,PGC039600,UGC07353,UZC121630+47350,VV448
NGC4594|12.6665134|-11.6230104|298.4606796|51.1493432|0.221|1.025|1.1|Sa|1087.5|4.9|15.5357142857143|9.154|0.16|-20.519|7.05|0.1|9.684|8.587|29.673|0.06|8.60201245693679|1.927|2MASXJ12395949-1137230,IRAS12373-1120,MCG-02-32-020,MESSIER104,NGC4594,PGC042407,SOMBRERO,UGCA293
NGC5055|13.2636931|42.0292782|105.997348|74.2877141|0.076|0.8|4|Sbc|507.9|2.6|7.25571419852121|9.323|0.039|-20.457|7.596|0.078||8.614|29.78|0.015|9.03649759467101|2.073|2MASXJ13154932+4201454,CGCG217-023,IRAS13135+4217,LGG347:[G93]002,MCG+07-27-054,MESSIER063,NGC5055,PGC046153,SDSSJ131549.26+420145.8,SUNFLOWER_GALAXY,UGC08334,UZC131330+42170
NGC4472|12.4963024|7.999724|286.9214915|70.195259|0.096|0.975|-4.8|E|978.7|8.3|13.9814287458147|9.346|0.121|-21.758|7.267|0.41|10.832|8.281|31.104|0.052|16.6264686699337|2.009|2MASXJ12294679+0800014,ACSVCS001,ARP134,CGCG042-134,EVCC0755,GIN781,LGG292:[G93]015,MCG+01-32-083,MESSIER049,NGC4472,PGC041220,SDSSJ122946.76+080001.7,UGC07629,UZC122712+08160,VCC1226
NGC2903|9.5361368|21.5015656|208.710556|44.5403035|0.134|0.73|4|Sbc|555.4|1.3|7.93428606305804|9.526|0.099|-20.32|7.879|0.125|9.586|8.915|29.846|0.11|9.31537053255823|2.077|2MASXJ09321011+2130029,AGC005079,CGCG122-014,HIPASSJ0932+21,IRAS09293+2143,KIG0347,MCG+04-23-009,NGC2903,NGC2905,PGC027077,SDSSJ093210.09+213008.2,UGC05079,UZC092924+21440
NGC1023|2.6733293|39.0632533|145.0231603|-19.0892099|0.262|1.01|-2.6|E-S0|645|12.6|9.21428571428571|9.565|0.492|-20.337|7.72|0.1|10.125|9.473|29.902|0.14|9.55872759956555|1.869|2MASXJ02402401+3903477,ARP135,CGCG523-083,LGG070:[G93]003,MCG+06-06-073,NGC1023,NGC1023:[TT2002]01,PGC010123,UGC02154,UZC023712+38510,[BTW2003]J0239+3905,[TT2009]01
