Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs,SDSSobjID,SDSSnChild,SDSSra,SDSSdec,SDSSdistance,petroMag_g,petroR50_g,petroR90_g,deVRad_g,expRad_g,petroMag_r,petroR50_r,petroR90_r,deVRad_r,expRad_r,Re_SDSS_g_calc,Re_SDSS_r_calc,Re_SDSS_g_calc_kpc,Re_SDSS_r_calc_kpc,Re_BmagCalc_kpc,Re_BmagCalc_arcsec
NGC5236,204.2539005,-29.8656261,314.5836574,31.9728632,0.288,0.72,5.0,Sc,508.4,2.1,7.26285705566406,7.817,0.206,-20.633,,,7.847,7.214,28.45,0.024,4.897789914506,2.134,"2MASXJ13370091-2951567,ESO444-081,ESOLV4440810,FLASHJ133700.23-295204.5,HIPASSJ1337-29,IRAS13341-2936,IRAS13342-2933,LGG355:[G93]001,MCG-05-32-050,MESSIER083,MRC1334-296,NGC5236,PGC048082,UGCA366",816.8668094795697,19.396611257187267,7.214,-21.236,1.9071868811804509,595,3.2033,21.25,352,59.174,,,,,,,,,,,,,,,,,,,,4.714551572944786,198.5481201048083
NGC5457,210.802368,54.349023,102.0373105,59.7712851,0.037,0.585,5.9,SABc,236.9,1.7,3.38428562709263,8.361,0.188,-20.899,,,,7.902,29.26,0.01,7.11213588618068,2.38,"2MASXJ14031258+5420555,ARP026,CGCG272-021,IRAS14013+5435,KIG0610,LGG371:[G93]001,MCG+09-23-028,MESSIER101,NGC5457,PGC050063,SDSSJ140312.52+542056.2,SDSSJ140312.54+542056.1,UGC08981,UZC140130+54350,VV344:,VV456",1439.299751411694,49.62788361082123,7.902,-21.358,2.037668687191399,711,3.2299,22.06,349,49.142,,,,,,,,,,,,,,,,,,,,5.177333039426374,150.15216475999588
NGC5194,202.469547,47.195151,104.8514735,68.5608822,0.152,0.68,4.0,SABb,460.8,1.5,6.58285696847098,8.608,0.269,-21.059,,,,10.722,29.667,0.023,8.57827497548059,2.137,"2MASXJ13295269+4711429,ARP085:,CGCG246-008,IRAS13277+4727,KPG379A,LGG347:[G93]004,MCG+08-25-012,MESSIER051,NGC5194,PGC047404,UGC08493,UZC132748+47270,VV001:,VV403,WHIRLPOOL",822.5290596989121,34.207841608710915,10.722,-18.945,1.6145380980732398,61,3.2459,22.467,27,44.369,,,,,,,,,,,,,,,,,,,,5.477301921650514,131.70196619932304
NGC4258,184.7399355,47.3038816,138.3198303,68.8422815,0.071,0.805,4.0,Sbc,454.2,6.1,6.48857160295759,9.124,0.137,-20.282,7.356,0.078,,9.293,29.406,0.011,7.60676548873228,2.23,"2MASXJ12185761+4718133,CGCG243-067,CGCG244-003,LGG290:[G93]004,MCG+08-22-104,MESSIER106,NGC4258,PGC039600,UGC07353,UZC121630+47350,VV448",1018.9461914770466,37.57731425206793,9.293,-20.113,1.3301679684841474,147,3.1682,22.206,69,47.407,1237660635467219004,0,184.739603025282,47.3039672141267,0.0144697534345268,10.71669,25.70142,64.98389,29.66505,27.57378,9.952083,24.97175,64.47732,29.67707,26.59728,26.243724213655337,25.6036914255077,0.9678319426186756,0.9442284261493835,4.166582610767711,112.98102504711635
NGC4594,189.997701,-11.6230104,298.4606796,51.1493432,0.221,1.025,1.1,Sa,1087.5,4.9,15.5357142857143,9.154,0.16,-20.519,7.05,0.1,9.684,8.587,29.673,0.06,8.60201245693679,1.927,"2MASXJ12395949-1137230,IRAS12373-1120,MCG-02-32-020,MESSIER104,NGC4594,PGC042407,SOMBRERO,UGCA293",507.167307096174,21.15075021643214,8.587,-21.086,1.7668745756751605,480,3.1918999999999995,22.473,211,43.971,,,,,,,,,,,,,,,,,,,,4.529103326756736,108.60196987277425
NGC5055,198.9553965,42.0292782,105.997348,74.2877141,0.076,0.8,4.0,Sbc,507.9,2.6,7.25571419852121,9.323,0.039,-20.457,7.596,0.078,,8.614,29.78,0.015,9.03649759467101,2.073,"2MASXJ13154932+4201454,CGCG217-023,IRAS13135+4217,LGG347:[G93]002,MCG+07-27-054,MESSIER063,NGC5055,PGC046153,SDSSJ131549.26+420145.8,SUNFLOWER_GALAXY,UGC08334,UZC131330+42170",709.8249334350987,31.097526500491018,8.614,-21.166,1.8389983647045935,538,3.1857,22.58,230,42.766,1237662195067912236,0,198.955280204379,42.029404825993,0.00919713026168932,9.966477,50.01516,184.9736,29.66751,42.77233,9.534778,39.11649,162.2968,29.67456,35.27623,103.7116822043991,,4.543622848177522,,4.431326547151055,101.14843286044044
NGC4472,187.444536,7.999724,286.9214915,70.195259,0.096,0.975,-4.8,E,978.7,8.3,13.9814287458147,9.346,0.121,-21.758,7.267,0.41,10.832,8.281,31.104,0.052,16.6264686699337,2.009,"2MASXJ12294679+0800014,ACSVCS001,ARP134,CGCG042-134,EVCC0755,GIN781,LGG292:[G93]015,MCG+01-32-083,MESSIER049,NGC4472,PGC041220,SDSSJ122946.76+080001.7,UGC07629,UZC122712+08160,VCC1226",612.5636902246079,49.37711683445284,8.281,-22.823,4.94462724825371,6657,3.3158000000000003,23.904,1880,28.247,1237654786779906058,0,187.444859808159,8.00046981888256,0.0487097498518525,10.36591,18.47663,47.50521,29.67477,16.31942,9.445612,19.56833,52.6594,29.67385,16.31994,18.927325014889572,20.27884584944092,1.525680926796664,1.634623397949941,6.442122303878641,79.91981841654813
NGC2903,143.04205199999998,21.5015656,208.710556,44.5403035,0.134,0.73,4.0,Sbc,555.4,1.3,7.93428606305804,9.526,0.099,-20.32,7.879,0.125,9.586,8.915,29.846,0.11,9.31537053255823,2.077,"2MASXJ09321011+2130029,AGC005079,CGCG122-014,HIPASSJ0932+21,IRAS09293+2143,KIG0347,MCG+04-23-009,NGC2903,NGC2905,PGC027077,SDSSJ093210.09+213008.2,UGC05079,UZC092924+21440",716.3928626785638,32.35384075209526,8.915,-20.931,1.6442250427583076,387,3.172,22.646,162,41.917,,,,,,,,,,,,,,,,,,,,4.222691794889469,93.50068470477471
NGC1023,40.0999395,39.0632533,145.0231603,-19.0892099,0.262,1.01,-2.6,E-S0,645.0,12.6,9.21428571428571,9.565,0.492,-20.337,7.72,0.1,10.125,9.473,29.902,0.14,9.55872759956555,1.869,"2MASXJ02402401+3903477,ARP135,CGCG523-083,LGG070:[G93]003,MCG+06-06-073,NGC1023,NGC1023:[TT2002]01,PGC010123,UGC02154,UZC023712+38510,[BTW2003]J0239+3905,[TT2009]01",443.7631650349426,20.56486177145938,9.473,-20.429,1.3900797368148687,206,3.1737,22.702,84,41.132,,,,,,,,,,,,,,,,,,,,3.4917604752814393,75.34768272574907
NGC4486,187.706364,12.3905194,283.7799792,74.49068,0.1,0.98,-4.3,E,1283.1,12.3,18.3299996512277,9.652,0.1,-21.472,8.04,0.139,10.909,8.998,31.124,0.065,16.7803150278178,1.852,"2MASXJ12304942+1223279,3C274,4C+12.45,ACSVCS002,ARP152,CGCG070-139,EVCC0786,GIN800,IRAS12282+1240,LGG289:[G93]012,M87,MCG+02-32-105,MESSIER087,MRC1228+126,NGC4486,PGC041361,SDSSJ123049.41+122328.1,UGC07654,UZC122818+12400,VCC1316,[RG2008]J187.70591+12.39114,[TH2002]001",426.7281081919975,34.71569140031724,8.998,-22.126,3.2301811604148725,2288,3.2872000000000003,23.924,637,27.845,,,,,,,,,,,,,,,,,,,,5.695018448295209,70.00363093840993
