name,objid,candid,ra,dec,distnr,gals,consolid,tnsid,tnstype,tnsdiscoverydate,tnsdiscoverymag,simbadid,gaiadesignation,gaiaprllx,gaiadist,location
ZTF18abnxxan_2381460606115010002,ZTF18abnxxan,2381460606115010002,351.2086869,15.2794836,0.12830732762813568,NGC7653,2018cjk,2018cjk,,2018-06-11 10:47:43.000,18.8,SN 2018cjk,,,,spiral
ZTF18aabstmw_2362224391915010001,ZTF18aabstmw,2362224391915010001,153.451158,38.763144,0.1260458379983902,NGC3158,2018aaz,2018aaz,SN Ia,2018-03-06 13:36:19.000,18.3,SN 2018aaz,,,,halo
ZTF18aaxljll_2381286074015010000,ZTF18aaxljll,2381286074015010000,248.0094601,78.2114056,0.10817006230354309,NGC6217,2018gj,2018gj,SN II,2018-01-14 09:49:23.000,14.6,SN 2018gj,,,,spiral
ZTF18aaiivec_2380225690215010008,ZTF18aaiivec,2380225690215010008,230.6876496,29.7707731,0.8195645213127136,UGC09831,2018ti,2018ti,,2018-02-10 11:38:06.000,19.5,,,,,bulge
ZTF18absoocp_2381452126315010004,ZTF18absoocp,2381452126315010004,358.1007613,28.7750403,0.0857677236199379,NGC7775,2018cew,2018cew,SN Ib,2018-06-04 10:05:27.000,18.0,AT 2018cew,,,,spiral
ZTF18aaaydjb_2343186735015010001,ZTF18aaaydjb,2343186735015010001,136.4990809,35.373255,0.08541318774223328,NGC2746,2018iq,2018iq,SN Ia,2018-01-19 11:52:07.000,17.0,SN 2018iq,,,,spiral
ZTF17aadtkxz_2305166125015010002,ZTF17aadtkxz,2305166125015010002,136.4990736,35.3732742,0.3439079523086548,NGC2746,2018iq,2018iq,SN Ia,2018-01-19 11:52:07.000,17.0,SN 2018iq,,,,spiral
ZTF18aaqfqaa_2382357822215010001,ZTF18aaqfqaa,2382357822215010001,233.0064692,68.241947,0.11517217755317688,IC1129,2018bek,2018bek,SN II,2018-05-05 01:26:24.000,16.9,SN 2018bek,,,,spiral
ZTF18aaylcqb_2382287140015010003,ZTF18aaylcqb,2382287140015010003,234.1363255,16.6056411,0.0881587564945221,NGC5962,2017ivu,2017ivu,SN IIP,2017-12-11 20:34:32.000,15.4,SN 2017ivu,,,,spiral
ZTF18aahpyxs_2361224696015010001,ZTF18aahpyxs,2361224696015010001,162.97075,51.0081181,0.7779791355133057,NGC3406,2017ijx,2017ijx,SN Ia,2017-11-21 16:29:10.000,16.9,SN 2017ijx,,,,spiral
ZTF18aaqfkqh_2382276583415010008,ZTF18aaqfkqh,2382276583415010008,217.6037875,11.9325922,0.09508035331964493,NGC5644,2018ahq,2018ahq,SN Ia,2018-03-17 09:54:34.000,17.5,SN 2018ahq,,,,halo
ZTF18aabcwtr_2361229423215010000,ZTF18aabcwtr,2361229423215010000,176.5540874,20.388516,0.10989589989185333,NGC3884,2018yn,2018yn,SN Ic,2018-02-23 10:19:32.000,18.0,,,,,bulge
ZTF18aaacxgb_2331269465815010005,ZTF18aaacxgb,2331269465815010005,155.7888326,57.0429674,0.13268978893756866,NGC3214,2018L,2018L,SN Ia,2018-01-03 11:21:08.000,17.6,SN 2018L,,,,halo
ZTF18aaksrwg_2382277061915010000,ZTF18aaksrwg,2382277061915010000,212.501942,17.749979,0.257867693901062,IC0983,2017iru,2017iru,,2017-11-29 22:32:09.000,18.58,,,,,spiral
ZTF18acefgxp_2304196445715010000,ZTF18acefgxp,2304196445715010000,123.3324186,57.8568653,0.17297162115573883,UGC04270,2018fht,2018fht,,2018-08-11 18:59:02.000,19.03,,,,,spiral
ZTF18abxheyn_2237149731415010016,ZTF18abxheyn,2237149731415010016,54.4880388,-6.2682156,0.9043123126029968,PGC013394,,,,,,,,,,spiral
ZTF18aaacqmh_2358186272715010003,ZTF18aaacqmh,2358186272715010003,149.5255757,10.359374,0.2044571042060852,NGC3070,2018gl,2018gl,SN Ia,2018-01-13 13:40:47.000,16.9,SN 2018gl,,,,bulge
ZTF18abvfqmw_2266145374315010018,ZTF18abvfqmw,2266145374315010018,71.4259095,-2.4115225,2.930196762084961,NGC1653,,,,,,,,,,bulge
ZTF18abvjyki_2381412060415015006,ZTF18abvjyki,2381412060415015006,340.3131517,23.4129525,2.0469038486480713,IC5242,,,,,,,Gaia DR2 1876173110828904576,0.8561002549605606,0.0005484043136845489,nuclear
ZTF20abylrcm_2367446090415015009,ZTF20abylrcm,2367446090415015009,340.3131608,23.4129523,2.4716811180114746,IC5242,,,,,,,,,,nucleus
ZTF18aamfuss_2379205720115010004,ZTF18aamfuss,2379205720115010004,210.7317834,9.4173481,0.8537386059761047,NGC5424,2017isn,2017isn,,2017-12-03 02:52:48.000,17.63,,,,,halo
ZTF18abpcsio_2230125262415010008,ZTF18abpcsio,2230125262415010008,25.9427178,4.2229536,2.335361957550049,NGC0664,2018dcr,2018dcr,,2018-06-12 02:39:50.000,18.67,,,,,nucleus
ZTF17aabxiwr_2372240894915010001,ZTF17aabxiwr,2372240894915010001,187.4075585,7.8263507,0.3810169994831085,NGC4472,2017jfs,2017jfs,Gap,2017-12-26 03:05:45.000,17.17,SN 2017jfs,,,,spiral
ZTF21aagqcnl_1639198064615015019,ZTF21aagqcnl,1639198064615015019,184.1441892,33.5269189,2.224719285964966,NGC4227,2021biz,2021biz,SN Ia,2021-01-29 13:01:55.200,18.338,,,,,halo
ZTF18abauprj_864233005715010014,ZTF18abauprj,864233005715010014,254.7709798,47.2364671,0.06350062787532806,NGC6279,2018cnw,2018cnw,SN Ia-91T-like,2018-06-15 06:12:57.000,19.53,SN 2018cnw,,,,halo
ZTF19ackjjwf_1127265241415015005,ZTF19ackjjwf,1127265241415015005,120.7083038,15.8011572,1.8141311407089233,NGC2514,2019tls,2019tls,SN Ib,2019-10-26 14:48:28.000,20.46,,,,,spiral
ZTF18abtgnsi_2214152834115010017,ZTF18abtgnsi,2214152834115010017,21.466833,-1.3670994,0.561676025390625,NGC0541,2018ctv,2018ctv,,2018-06-21 04:19:12.000,17.2,SN 2018ctv,,,,spiral
ZTF18abtqomq_2382425521615010000,ZTF18abtqomq,2382425521615010000,12.0225344,-2.7896767,0.3521324396133423,NGC0259,2017jbj,2017jbj,SN II,2017-12-20 11:22:29.000,16.9,SN 2017jbj,,,,spiral
ZTF20abyptpc_1479132190615015000,ZTF20abyptpc,1479132190615015000,354.6708499,15.954941,3.666738271713257,NGC7722,2020ssf,2020ssf,SN Ia,2020-09-06 06:02:44.160,17.94,,,,,bulge
ZTF20aaumpzj_2126534962615010000,ZTF20aaumpzj,2126534962615010000,179.5224652,25.1378505,1.8084957599639893,NGC4005,,,,,,,,,,star
ZTF19aadyppr_944162992515015018,ZTF19aadyppr,944162992515015018,202.4281788,47.1873754,4.252413272857666,NGC5194,2019abn,2019abn,ILRT,2019-01-22 13:19:43.000,19.58,M51 OT2019-1,,,,spiral
ZTF18abvdmfx_2204115960815010015,ZTF18abvdmfx,2204115960815010015,22.6132901,-26.7849163,0.1490778923034668,ESO476-016,2018cvn,2018cvn,SN II,2018-06-26 07:55:12.000,16.7,SN 2018cvn,,,,spiral
ZTF18aahfzea_2361242703615010001,ZTF18aahfzea,2361242703615010001,181.3610967,20.2991504,0.3391425609588623,NGC4090,2018aqh,2018aqh,SN Ia,2018-04-05 10:46:33.000,16.69,SN 2018aqh,,,,spiral
ZTF20abijfqq_2332214782515010002,ZTF20abijfqq,2332214782515010002,186.3508231,18.2035441,0.09581077843904495,NGC4382,2020nlb,2020nlb,SN Ia,2020-06-25 06:01:26.400,17.436,SN 2020nlb,,,,halo
ZTF22abkpgpa_2266145370815015001,ZTF22abkpgpa,2266145370815015001,71.6161898,-4.7893912,2.696033000946045,NGC1659,2022wpy,2022wpy,SN Ia,2022-10-03 06:40:33.888,18.968,,,,,spiral
ZTF19abdktel_2181160854415010020,ZTF19abdktel,2181160854415010020,359.0283626,-0.9118705,0.39470407366752625,IC1516,2018chr,2018chr,,2018-06-04 20:47:02.000,18.79,,,,,spiral
ZTF22aafoqrd_2335277092915015000,ZTF22aafoqrd,2335277092915015000,190.8931034,11.5776218,3.265528440475464,NGC4649,2022hrs,2022hrs,SN Ia,2022-04-16 14:50:40.000,15.0,SN 2022hrs,,,,spiral
ZTF18abdbysy_627141424115015000,ZTF18abdbysy,627141424115015000,233.535919,56.697226,1.8052287101745605,NGC5965,2018cyg,2018cyg,SN II,2018-06-30 07:29:31.000,18.7,SN 2018cyg,,,,spiral
ZTF19aatlmbo_1145434732415015004,ZTF19aatlmbo,1145434732415015004,208.3705617,40.2750708,2.387772560119629,NGC5353 / NGC5354,2019ein,2019ein,SN Ia,2019-05-01 11:22:33.000,18.194,SN 2019ein,,,,halo
ZTF22aaiidyo_2071158365015015004,ZTF22aaiidyo,2071158365015015004,243.1802761,28.3030258,0.7353483438491821,UGC10273,2022jpi,2022jpi,SN IIP,2022-05-09 10:12:56.160,19.5036,,,,,spiral
